청년 1인 세대수,남자 1인 세대수,여자 1인 세대수,청년 인구 현황,남자 인구 현황,여자 인구 현황,데이터 기준 날짜,행정동 코드,행정동 이름
355,204,151,4238,1475,2763,2025-05-01,48330250,중앙동
490,280,210,3974,1794,2180,2025-05-01,48330253,양주동
612,188,424,3658,1760,1898,2025-05-01,48330256,삼성동
408,345,63,3176,549,2627,2025-05-01,48330259,강서동
436,245,191,3628,815,2813,2025-05-01,48330262,서창동
846,451,395,3747,2846,901,2025-05-01,48330265,소주동
433,132,301,3305,993,2312,2025-05-01,48330268,평산동
404,319,85,3279,2030,1249,2025-05-01,48330271,덕계동
488,61,427,2181,1330,851,2025-05-01,48330110,물금읍
664,434,230,4544,2072,2472,2025-05-01,48330120,동면
447,63,384,4140,2192,1948,2025-05-01,48330130,원동면
905,479,426,3102,2499,603,2025-05-01,48330140,상북면
746,443,303,3564,2797,767,2025-05-01,48330150,하북면
