기관 이름,주소,전화번호,위도,경도,행정동 코드,행정동 이름
원동면 행정복지센터,경상남도 양산시 원동면로 100,055-3000-8622,35.409104,129.102306,48330130,원동면
원동면 보건지소,경상남도 양산시 원동면로 101,055-3001-5952,35.440246,129.109375,48330130,원동면
서창동 행정복지센터,경상남도 양산시 서창동로 102,055-3002-1291,35.403464,129.091167,48330262,서창동
평산동 행정복지센터,경상남도 양산시 평산동로 103,055-3003-3537,35.392568,129.084757,48330268,평산동
양주동 보건지소,경상남도 양산시 양주동로 104,055-3004-2979,35.470628,129.199578,48330253,양주동
삼성동 복지센터,경상남도 양산시 삼성동로 105,055-3005-9631,35.352296,129.126315,48330256,삼성동
중앙동 보건지소,경상남도 양산시 중앙동로 106,055-3006-2290,35.399946,129.18705,48330250,중앙동
동면 보건지소,경상남도 양산시 동면로 107,055-3007-1846,35.486342,129.147797,48330120,동면
원동면 복지센터,경상남도 양산시 원동면로 108,055-3008-1207,35.37785,129.069317,48330130,원동면
삼성동 보건지소,경상남도 양산시 삼성동로 109,055-3009-2663,35.346514,129.122303,48330256,삼성동
평산동 보건지소,경상남도 양산시 평산동로 110,055-3010-1788,35.388951,129.145283,48330268,평산동
삼성동 복지센터,경상남도 양산시 삼성동로 111,055-3011-4437,35.326246,129.045779,48330256,삼성동
소주동 문화센터,경상남도 양산시 소주동로 112,055-3012-4236,35.436894,129.171704,48330265,소주동
소주동 문화센터,경상남도 양산시 소주동로 113,055-3013-3879,35.346918,129.119381,48330265,소주동
평산동 복지센터,경상남도 양산시 평산동로 114,055-3014-9740,35.420166,129.030103,48330268,평산동
물금읍 행정복지센터,경상남도 양산시 물금읍로 115,055-3015-7595,35.37331,129.026141,48330110,물금읍
물금읍 행정복지센터,경상남도 양산시 물금읍로 116,055-3016-8539,35.492146,129.192848,48330110,물금읍
중앙동 복지센터,경상남도 양산시 중앙동로 117,055-3017-4137,35.498119,129.013087,48330250,중앙동
하북면 보건지소,경상남도 양산시 하북면로 118,055-3018-2254,35.313619,129.1888,48330150,하북면
평산동 복지센터,경상남도 양산시 평산동로 119,055-3019-8493,35.442846,129.197244,48330268,평산동
삼성동 복지센터,경상남도 양산시 삼성동로 120,055-3020-5797,35.498739,129.015958,48330256,삼성동
덕계동 복지센터,경상남도 양산시 덕계동로 121,055-3021-4198,35.337676,129.071611,48330271,덕계동
덕계동 복지센터,경상남도 양산시 덕계동로 122,055-3022-7722,35.437959,129.108745,48330271,덕계동
동면 복지센터,경상남도 양산시 동면로 123,055-3023-1611,35.449861,129.056814,48330120,동면
중앙동 보건지소,경상남도 양산시 중앙동로 124,055-3024-7561,35.363229,129.101901,48330250,중앙동
삼성동 행정복지센터,경상남도 양산시 삼성동로 125,055-3025-5243,35.32361,129.129935,48330256,삼성동
물금읍 문화센터,경상남도 양산시 물금읍로 126,055-3026-1590,35.357756,129.050789,48330110,물금읍
평산동 보건지소,경상남도 양산시 평산동로 127,055-3027-1280,35.445977,129.122107,48330268,평산동
강서동 보건지소,경상남도 양산시 강서동로 128,055-3028-9273,35.362114,129.050396,48330259,강서동
삼성동 복지센터,경상남도 양산시 삼성동로 129,055-3029-6572,35.364639,129.107869,48330256,삼성동
물금읍 행정복지센터,경상남도 양산시 물금읍로 130,055-3030-9995,35.384486,129.085788,48330110,물금읍
상북면 복지센터,경상남도 양산시 상북면로 131,055-3031-2430,35.390819,129.049975,48330140,상북면
강서동 문화센터,경상남도 양산시 강서동로 132,055-3032-4552,35.427173,129.072793,48330259,강서동
물금읍 복지센터,경상남도 양산시 물금읍로 133,055-3033-6051,35.434714,129.13582,48330110,물금읍
서창동 보건지소,경상남도 양산시 서창동로 134,055-3034-4583,35.442403,129.130361,48330262,서창동
소주동 복지센터,경상남도 양산시 소주동로 135,055-3035-6206,35.408906,129.082409,48330265,소주동
상북면 행정복지센터,경상남도 양산시 상북면로 136,055-3036-7587,35.40784,129.178657,48330140,상북면
하북면 문화센터,경상남도 양산시 하북면로 137,055-3037-1438,35.370328,129.052008,48330150,하북면
삼성동 행정복지센터,경상남도 양산시 삼성동로 138,055-3038-1788,35.361876,129.05092,48330256,삼성동
양주동 행정복지센터,경상남도 양산시 양주동로 139,055-3039-5155,35.396159,129.100287,48330253,양주동
동면 복지센터,경상남도 양산시 동면로 140,055-3040-6155,35.372614,129.118723,48330120,동면
물금읍 문화센터,경상남도 양산시 물금읍로 141,055-3041-7929,35.326261,129.165564,48330110,물금읍
강서동 행정복지센터,경상남도 양산시 강서동로 142,055-3042-7082,35.39331,129.161055,48330259,강서동
강서동 행정복지센터,경상남도 양산시 강서동로 143,055-3043-1963,35.325995,129.047513,48330259,강서동
서창동 복지센터,경상남도 양산시 서창동로 144,055-3044-6702,35.35641,129.151066,48330262,서창동
동면 행정복지센터,경상남도 양산시 동면로 145,055-3045-3310,35.48968,129.178238,48330120,동면
상북면 보건지소,경상남도 양산시 상북면로 146,055-3046-9046,35.413919,129.19382,48330140,상북면
하북면 문화센터,경상남도 양산시 하북면로 147,055-3047-9087,35.490053,129.128466,48330150,하북면
양주동 복지센터,경상남도 양산시 양주동로 148,055-3048-1906,35.395864,129.011061,48330253,양주동
중앙동 복지센터,경상남도 양산시 중앙동로 149,055-3049-7137,35.427738,129.190541,48330250,중앙동
